00.000,09.562,18.209,26.030,33.103,39.499,45.284,50.516
00.000,-00.83,15.949,24.340,31.496,37.893,43.678,48.909
00.000,-00.69,07.032,22.206,30.049,36.448,42.233,47.465
00.000,-00.46,04.911,20.212,28.649,35.053,40.838,46.070
00.000,-00.43,00.702,19.024,27.398,33.812,39.597,44.829
00.000,-00.46,00.264,17.665,25.987,32.437,38.222,43.454
00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000
00.000,-01.76,08.083,21.140,28.983,35.382,41.167,46.399
00.000,00.545,07.287,15.080,28.682,35.086,40.871,46.103
00.000,-00.39,06.193,13.870,27.540,33.952,39.737,44.969
00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000
00.000,-00.51,-00.06,16.410,24.720,31.228,37.013,42.245
00.000,03.529,11.646,18.990,25.666,33.911,40.104,45.481
00.000,02.721,10.499,17.428,26.934,33.981,39.804,45.052
00.000,01.269,08.417,15.477,21.552,32.787,38.576,43.810
00.000,-02.47,07.406,14.687,20.393,32.731,38.517,43.749
00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000
00.000,-01.03,-00.32,15.000,23.414,30.034,35.819,41.051
00.000,02.424,10.629,17.616,24.539,32.799,38.930,44.309
00.000,03.318,11.738,18.540,24.734,33.762,39.629,44.895
00.000,03.094,11.335,17.537,23.266,32.425,38.407,43.673
00.000,-02.91,09.179,15.564,21.247,27.869,36.359,41.595
00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000
00.000,-02.62,-00.51,13.980,22.043,28.854,34.641,39.873
00.000,02.658,10.094,17.488,24.174,30.221,37.681,43.079
00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000
00.000,06.404,12.561,18.672,24.375,31.252,38.323,43.596
00.000,-02.03,11.335,17.517,23.216,29.754,37.019,42.300
00.000,-02.92,08.555,15.512,21.210,27.443,34.728,40.026
00.000,-02.79,08.354,14.990,20.827,27.654,33.612,39.043
00.000,02.980,11.248,18.642,25.328,31.376,37.835,43.504
00.000,-02.19,09.163,15.295,22.977,29.024,35.355,41.059
00.000,04.422,11.336,17.490,23.378,29.878,36.913,42.243
00.000,-00.23,11.621,18.327,24.188,29.780,36.998,42.335
00.000,-00.83,10.411,17.091,22.934,28.499,35.665,41.011
00.000,-02.42,09.313,15.943,21.790,27.401,34.362,39.739