00.000,20.377,41.103,56.434,67.774,76.162
00.000,17.615,39.496,54.827,66.167,74.556
00.000,15.272,38.051,53.382,64.723,73.111
00.000,06.893,36.657,51.988,63.328,71.716
00.000,03.073,35.415,50.746,62.087,70.475
00.000,02.475,34.040,49.371,60.712,69.100
00.000,00.000,00.000,00.000,00.000,00.000
00.000,02.811,36.986,52.317,63.657,72.045
00.000,03.322,36.689,52.020,63.360,71.749
00.000,02.468,35.555,50.886,62.227,70.615
00.000,00.000,00.000,00.000,00.000,00.000
00.000,00.645,32.832,48.163,59.503,67.891
00.000,07.095,31.133,51.230,62.808,71.207
00.000,02.031,30.719,50.951,62.318,70.707
00.000,01.699,33.911,49.725,61.068,69.457
00.000,01.295,34.283,49.666,61.007,69.395
00.000,00.000,00.000,00.000,00.000,00.000
00.000,00.629,24.579,46.969,58.309,66.698
00.000,06.780,29.272,50.046,61.637,70.037
00.000,07.095,29.835,50.680,62.167,70.560
00.000,01.761,28.130,48.616,60.924,69.339
00.000,-00.04,26.645,47.406,58.853,67.244
00.000,00.000,00.000,00.000,00.000,00.000
00.000,00.831,25.544,38.593,57.130,65.519
00.000,08.919,30.214,45.018,60.416,68.816
00.000,00.000,00.000,00.000,00.000,00.000
00.000,13.392,29.113,46.152,60.651,69.264
00.000,11.716,28.663,42.188,57.754,67.973
00.000,00.981,26.698,40.133,55.567,65.707
00.000,02.745,26.522,39.615,54.669,64.503
00.000,14.724,31.237,46.172,60.937,69.484
00.000,12.940,29.017,43.821,58.505,67.073
00.000,12.887,28.879,42.413,59.250,67.956
00.000,13.416,29.869,43.021,58.487,68.049
00.000,08.217,28.613,41.755,57.082,66.727
00.000,07.173,27.490,40.586,55.745,65.433